Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Serbia,73,8731081,100,2020-11-16,87381.0,1519315.0,2.7,,0.787,5.609,97.719,Europe,0.74,1030.0,0.159,0.011787459516370835,,1711000,2020-03-07,44.016521,21.005859,2020-03-15,Full,17434.91613,7.3,98.1
Seychelles,74,98453,214,2021-01-23,1033.0,,,1.1,0.797,3.6,,Africa,,3.0,,0.002904162633107454,2.0,362000,2020-03-15,-4.679574,55.491977,2020-04-09,Full,30557.07572,7.16,95.2
Singapore,75,5858322,8358,2020-12-31,58599.0,5617894.0,944.5,,0.932,2.4,,Asia,0.98,29.0,0.001,0.0004948889912797146,2.0,14673000,2020-01-24,1.352083,103.819836,2020-03-26,Partial,101531.6302,8.11,96.8
Slovakia,76,5460109,114,2020-10-30,55091.0,769818.0,2.9,0.7,0.855,5.82,,Europe,0.95,212.0,0.132,0.0038481784683523624,3.0,14000,2020-03-07,48.669026,19.699024,2020-03-09,Full,,,99.6
Slovenia,77,2078989,103,2020-10-24,21274.0,326789.0,3.3,,0.896,4.5,,Europe,0.94,235.0,0.063,0.011046347654413839,3.0,4425000,2020-03-06,46.151241,14.995463,2020-03-11,Full,38048.78466,7.97,99.7
South Africa,78,59436725,49,2020-08-19,596060.0,3455671.0,3.1,18.9,0.699,2.32,43.993,Africa,0.63,12423.0,0.075,0.02084186155756132,1.0,10472000,2020-03-06,-30.559482,22.937506,2020-03-26,Full,13686.88236,7.08,94.3
Spain,79,46757980,94,2020-09-01,470973.0,7042795.0,6.4,1.0,0.891,2.97,,Europe,0.94,29152.0,0.054,0.061897391145564605,3.0,82773000,2020-02-02,40.463667,-3.74922,2020-03-14,Full,39715.43906,8.12,98.1
Palestine,80,5121112,847,2020-10-27,51528.0,,3.2,1.0,0.686,,,Asia,0.66,458.0,0.117,0.008888371370905139,3.0,606000,2020-03-06,31.9466,35.3027,2020-04-09,Full,,,
Suriname,81,587541,4,2020-12-25,5880.0,,,,0.72,3.1,67.779,South America,1.09,119.0,,0.02023809523809524,2.0,14000,2020-03-15,3.919305,-56.027783,,,15510.46464,7.48,95.6
Sweden,82,10110233,25,2020-10-14,101332.0,,4.0,0.5,0.933,2.22,,Europe,1.25,5907.0,0.031,0.05829353017802866,3.0,7440000,2020-02-01,60.128161,18.643501,,,53208.88436,8.5,
Switzerland,83,8665615,219,2020-10-21,91763.0,1714436.0,3.7,,0.944,4.53,,Europe,0.89,2039.0,0.082,0.022220284864269912,3.0,10362000,2020-02-26,46.818188,8.227512,2020-03-18,Full,68060.94105,8.82,
Tunisia,84,11839918,76,2020-12-19,119151.0,,,2.0,0.735,2.3,78.687,Africa,1.12,4126.0,,0.03462832875930542,3.0,8299000,2020-03-05,33.886917,9.537499,2020-03-20,Full,12502.82019,6.08,81.8
Turkey,85,84495243,110,2020-12-07,860432.0,19888747.0,5.9,0.2,0.791,2.81,,Asia,0.27,15103.0,0.038,0.017552810681146214,3.0,45768000,2020-03-12,38.963745,35.243322,2020-03-23,Full,28068.85941,6.21,95
Ukraine,86,43686577,75,2020-11-05,443630.0,3521175.0,2.0,0.1,0.751,8.8,,Europe,0.82,8148.0,0.19,0.01836665689876699,3.0,14104000,2020-03-04,48.379433,31.16558,2020-03-17,Full,9249.462135,6.26,99.8
United Arab Emirates,87,9910892,118,2020-10-05,99733.0,10217534.0,42.1,,0.863,1.2,,Asia,0.96,429.0,0.008,0.004301484964856166,1.0,21286000,2020-01-30,23.424076,53.847818,2020-03-24,Full,75075.25741,6.13,93.8
United Kingdom,88,67948282,281,2020-10-16,692112.0,26917855.0,7.8,0.2,0.922,2.54,,Europe,0.66,43519.0,0.032,0.0628785514483205,3.0,36316000,2020-02-01,55.378051,-3.435973,2020-03-23,Full,45973.5735,8.47,
United States,89,331341050,36,2020-07-13,3370026.0,47697465.0,6.5,1.2,0.924,2.77,,North America,0.87,136423.0,0.05,0.04048129005532895,3.0,79745920,2020-03-10,37.09024,-95.712891,2020-03-23,Partial,62794.58565,8.46,
Uruguay,90,3475842,20,2021-01-21,34992.0,779127.0,9.1,0.1,0.804,2.8,,South America,1.18,347.0,0.084,0.00991655235482396,3.0,3469000,2020-03-15,-32.522779,-55.765835,2020-03-16,Full,23572.17746,7.74,98.4
